check_id,check_name,status,profile,evidence,affected_file,recommendation
LH-FIN-stock_pe_ttm_q_5y,stock_pe_ttm_q_5y availability,PASS,both,"non_null=2753406, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-stock_pe_ttm_q_10y,stock_pe_ttm_q_10y availability,PASS,both,"non_null=2753406, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-stock_pe_ttm_q_blended,stock_pe_ttm_q_blended availability,PASS,both,"non_null=2753406, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-industry_pb_q_5y,industry_pb_q_5y availability,PASS,both,"non_null=3668724, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-industry_pb_q_10y,industry_pb_q_10y availability,PASS,both,"non_null=3668724, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-industry_pb_q_blended,industry_pb_q_blended availability,PASS,both,"non_null=3668724, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-industry_pe_ttm_q_5y,industry_pe_ttm_q_5y availability,PASS,both,"non_null=3668724, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-industry_pe_ttm_q_10y,industry_pe_ttm_q_10y availability,PASS,both,"non_null=3668724, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-industry_pe_ttm_q_blended,industry_pe_ttm_q_blended availability,PASS,both,"non_null=3668724, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-cycle_peak_trap,cycle_peak_trap availability,PASS,both,"non_null=3674369, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-FIN-roe_pct_in_last_12_quarters,roe_pct_in_last_12_quarters availability,PASS,both,"non_null=3674199, announcement_violations=0, fallback_violations=0, fallback_days=30",data/features/daily_features,禁止使用 signal_date 之后才公告或 fallback 未满滞后期的财务字段。
LH-VAL-001,valuation quantile rolling windows,PASS,both,"samples=20, failures=0",data/curated/stock_valuation_daily.parquet; data/curated/industry_daily.parquet,估值分位窗口只能使用 signal_date 及以前的估值序列。
LH-VAL-SOURCE-001,combined_v2 resolver valuation source fields,WARN,combined_v2,"candidate_rows=1638, failures=0, warnings=2",reports/backtest/combined_v2_candidate_scores.csv,审计 resolver 实际使用的 stock/industry source_field；只有 source_field 为空或 source_after_signal_date 才降级。
LH-TECH-001,technical indicators use current-or-prior bars,PASS,both,"checked=ma20,ma60,ma120,ma200,ma250,ma20_slope_10d,ma60_slope_20d,ma120_slope_20d,atr20,close; missing=; max_source_date_used=signal_date",data/features/daily_features,移动均线、斜率、ATR、close 和 benchmark MA 只允许使用 signal_date 及以前行情。
LH-UNI-001,combined_v2 historical universe point-in-time,PASS,combined_v2,"monthly_files=38, future_data_files=0",reports/backtest/combined_v2_universe_history,月度股票池必须用 refresh_date 及以前数据生成，并在下一交易日生效。
